Response_ID,Timestamp,Q1_Age_Group,Q2_Gender,Q3_Location_Type,Q4_Annual_Income,Q5_Education_Level,Q6_Employment_Status,Q7_Occupation_Category,Q8_Outdoor_Frequency,Q9_Outdoor_Activities,Q10_Camping_Frequency,Q11_Camping_Type,Q12_Emergency_Kit,Q13_Emergency_Importance,Q14_Travel_Frequency,Q15_Trip_Duration,Q16_Sustainability_Importance,Q17_Tech_Relationship,Q18_Portable_Devices,Q19_Powerbank_Ownership,Q20_Powerbank_Capacity,Q21_Power_Issues_Frequency,Q22_Charging_Challenges,Q23_Solar_Powerbank_Awareness,Q24_Solar_Powerbank_Experience,Q25_Important_Features,Q26_Primary_Use_Case,Q27_Concerns,Q28_Preferred_Capacity,Q29_Purchase_Channels,Q30_Purchase_Likelihood,Q31_Max_Price_Willing_To_Pay,Q32_Bundle_Preferences,Q33_Purchase_Timeline,Q34_Purchase_Motivators,Q35_Trusted_Brands,Q36_Household_Size,Q37_Children_Under_18,Q38_Region,Q39_Disaster_Experience
1,2024-01-01 00:00:00,25-34,Male,Rural,Prefer not to say,Bachelor's Degree,Employed Part-time,Technology/IT,Rarely (few times a year),Overlanding/Off-roading,Several times per season (6-10 times/year),Car camping (established campgrounds)|Glamping|Multi-day backpacking trips,"Yes, basic kit (flashlight, first aid, some supplies)",Moderately important - Have basic supplies,Few times per year,Weekend trips (2-3 days),Very important - Major consideration,Practical User - Adopt when it solves a real problem,"Headlamp/rechargeable flashlight|Satellite communicator (InReach, SPOT)|Smartphone (1 device)","Yes, multiple power banks (2+)","20,000 - 29,999 mAh",Occasionally - Happens sometimes,Current power bank capacity insufficient|No access to electrical outlets for extended periods,"Yes, I've researched but never purchased",Never used one,Affordable price point|Long lifespan (1000+ charge cycles)|Multiple charging ports (3+ USB ports)|Rugged/Shockproof design (military-grade durability)|Wireless charging pad (Qi-enabled),Overlanding/RV/Van life,No major concerns - interested in purchasing,"40,000+ mAh (expedition-grade, multiple devices multiple times)","Brand website directly|Electronics stores (Best Buy, Micro Center)|Emergency preparedness retailers|Social media ads/shopping",Very likely to purchase (70-89%),$100 - $119,Solar power bank + Rugged protective case,1-3 months,Featured in outdoor magazine/gear review site|Free shipping|YouTube gear review by trusted reviewer,BigBlue|Black Diamond,3,Yes,Mountain West US,"Yes, once"
2,2024-01-01 01:00:00,65+,Male,Urban (City),"$100,000 - $149,999",High School or less,Retired,Outdoor/Adventure Professional,Several times a week (3-6 times),Camping (tent/RV)|Hiking/Trekking|Rock Climbing/Mountaineering|Skiing/Snowboarding,Several times per season (6-10 times/year),Glamping|RV/Van camping|Winter camping,"Yes, comprehensive kit (food, water, first aid, power, etc.)",Very important - Regularly update emergency supplies,Monthly,Extended trips (4-7 days),Moderately important - Consider when possible,Minimalist - Prefer minimal tech reliance,"Action camera (GoPro, etc.)|DSLR/Mirrorless camera|Drone|Medical devices (CPAP, etc.)|Satellite communicator (InReach, SPOT)|Smartphone (1 device)|Tablet","Yes, 1 solar power bank","Under 10,000 mAh",Rarely - Usually prepared,Multiple devices need charging simultaneously,"Yes, heard about them but no details",Never used one,Affordable price point|Integrated high-lumen LED flashlight (multiple modes: high/low/SOS)|USB-C fast charging (input & output)|Waterproof & Dustproof (IP67 rating)|Wireless charging pad (Qi-enabled),Day hikes and outdoor activities,Compass accuracy concerns|Questionable quality/brand reputation,"20,000-25,000 mAh (balanced, 4-5 phone charges)","Big box retailers (Walmart, Target, Costco)|Emergency preparedness retailers",Definitely will purchase (90-100% likely),$200+,Solar power bank + Additional foldable solar panel (14W)|Solar power bank + Multi-tool with emergency features|Solar power bank + Rugged protective case,1-3 months,Bundle deal savings|Demonstration video showing real-world performance|Significant launch discount (25%+ off),BigBlue|Black Diamond|Garmin|Suaoki,2,No,Midwest US,"No, but concerned about it"
3,2024-01-01 02:00:00,45-54,Male,Urban (City),"$75,000 - $99,999",Bachelor's Degree,Employed Full-time,Business/Finance,Several times a week (3-6 times),Backpacking/Multi-day trips|Beach/Water sports|Camping (tent/RV)|Fishing/Hunting|Kayaking/Canoeing|Overlanding/Off-roading|Search & Rescue volunteering,Several times per season (6-10 times/year),Glamping|Winter camping,"Yes, basic kit (flashlight, first aid, some supplies)",Extremely important - Active prepper/always prepared,Few times per year,Day trips only (less than 12 hours),Moderately important - Consider when possible,Practical User - Adopt when it solves a real problem,"DSLR/Mirrorless camera|Headlamp/rechargeable flashlight|Laptop|Medical devices (CPAP, etc.)|Smartphone (1 device)","No, but I've used one before",Don't own one,Very frequently - Almost every trip/outing,Camera battery dies during key moments|Headlamp/flashlight needs recharging|Multiple devices need charging simultaneously|Power bank too heavy for backpacking,"Yes, I've researched but never purchased",Average - Some pros and cons,Carabiner/loop for attachment to backpack|Emergency SOS signal function|Extreme temperature performance (-4°F to 140°F)|Lightweight & portable (under 1 lb)|Waterproof & Dustproof (IP67 rating),Multi-day camping/backpacking trips,Battery degradation over time|Compass accuracy concerns|Compatibility issues with my devices|Ineffective in cloudy/overcast weather,"20,000-25,000 mAh (balanced, 4-5 phone charges)","Big box retailers (Walmart, Target, Costco)|Social media ads/shopping",Definitely will purchase (90-100% likely),$150 - $179,Solar power bank + Emergency blanket & first aid kit|Solar power bank + Headlamp/flashlight set|Solar power bank + Waterproof dry bag,3-6 months,Endorsement by outdoor influencer/athlete|Extended warranty (3+ years)|Made from recycled/sustainable materials,BioLite|Jackery,1 (Live alone),Yes,Midwest US,"No, but concerned about it"
4,2024-01-01 03:00:00,35-44,Male,Urban (City),"$50,000 - $74,999",Bachelor's Degree,Employed Full-time,Business/Finance,Never,None of the above,Monthly or more,Car camping (established campgrounds)|Glamping|Multi-day backpacking trips|RV/Van camping,"No, haven't thought about it",Not important - Don't prioritize it,Few times per year,Overnight (1-2 days),Very important - Major consideration,Selective Adopter - Only essential technology,None - prefer offline activities,"No, never used one",Don't own one,Occasionally - Happens sometimes,Emergency devices (satellite comm) need reliable backup|Headlamp/flashlight needs recharging|No access to electrical outlets for extended periods,"No, this is new information",Never used one,Affordable price point|Efficient solar panels (fast solar charging)|Integrated high-lumen LED flashlight (multiple modes: high/low/SOS)|USB-C fast charging (input & output)|Waterproof & Dustproof (IP67 rating),Overlanding/RV/Van life,Battery degradation over time|Charging speed too slow for my needs|Ineffective in cloudy/overcast weather|Limited warranty/customer support|Slow solar charging in real-world conditions,"20,000-25,000 mAh (balanced, 4-5 phone charges)",Emergency preparedness retailers|Social media ads/shopping,Definitely will NOT purchase (0-9%),$100 - $119,No bundle - prefer standalone product only,Within 1 month,Extended warranty (3+ years)|Personal recommendation from experienced outdoors person|Risk-free trial period (30-60 day return),No strong brand preference,3,Yes,Midwest US,"No, but concerned about it"
5,2024-01-01 04:00:00,25-34,Male,Suburban,"$50,000 - $74,999",Bachelor's Degree,Employed Full-time,Business/Finance,Several times a week (3-6 times),Camping (tent/RV)|Fishing/Hunting|Hiking/Trekking|Overlanding/Off-roading|Search & Rescue volunteering,Occasionally (3-5 times/year),Glamping,Somewhat - scattered emergency items,Slightly important - Occasionally think about it,Monthly,Overnight (1-2 days),Extremely important - Primary deciding factor,Selective Adopter - Only essential technology,"DSLR/Mirrorless camera|E-reader|Headlamp/rechargeable flashlight|Laptop|Medical devices (CPAP, etc.)|Smartphone (1 device)|Tablet","No, but I've used one before",Don't own one,Occasionally - Happens sometimes,Camera battery dies during key moments|Current power bank capacity insufficient|GPS device runs out of battery mid-activity|No access to electrical outlets for extended periods,"No, this is new information",Never used one,Carabiner/loop for attachment to backpack|Efficient solar panels (fast solar charging)|Emergency SOS signal function|Lightweight & portable (under 1 lb)|Quick charge technology (charges devices 50% in 30 min),Emergency preparedness kit (home/car),No major concerns - interested in purchasing,"20,000-25,000 mAh (balanced, 4-5 phone charges)","Big box retailers (Walmart, Target, Costco)|Crowdfunding platforms (Kickstarter, Indiegogo)|Emergency preparedness retailers|Sporting goods stores (Dick's, Academy)",Very likely to purchase (70-89%),$120 - $149,Solar power bank + Additional foldable solar panel (14W)|Solar power bank + Multi-tool with emergency features,1-3 months,4.5+ star rating with 500+ reviews|Free shipping|YouTube gear review by trusted reviewer,BigBlue|Suaoki,1 (Live alone),Yes,Northeast US,"No, but concerned about it"
6,2024-01-01 05:00:00,25-34,Male,Rural,"$100,000 - $149,999",Bachelor's Degree,Self-employed,Business/Finance,2-3 times per month,Beach/Water sports|Hiking/Trekking|Search & Rescue volunteering|Wildlife Photography,Several times per season (6-10 times/year),Backcountry/Primitive camping|Car camping (established campgrounds)|RV/Van camping,"Yes, basic kit (flashlight, first aid, some supplies)",Moderately important - Have basic supplies,2-3 times per month,Overnight (1-2 days),Moderately important - Consider when possible,Tech Enthusiast - Research and adopt proven tech quickly,"Action camera (GoPro, etc.)|Laptop|Smartphone (1 device)","No, but I've used one before",Don't own one,Rarely - Usually prepared,Emergency devices (satellite comm) need reliable backup,"Yes, I've researched but never purchased",Average - Some pros and cons,Built-in compass for navigation|Emergency SOS signal function|Multiple charging ports (3+ USB ports)|Quick charge technology (charges devices 50% in 30 min)|Waterproof & Dustproof (IP67 rating),Multi-day camping/backpacking trips,Ineffective in cloudy/overcast weather|Too bulky/heavy for backpacking,"10,000-15,000 mAh (ultra-portable, 2-3 phone charges)","Brand website directly|Crowdfunding platforms (Kickstarter, Indiegogo)",Moderately likely (50-69%),$100 - $119,Solar power bank + Waterproof dry bag,Immediately/within 2 weeks,Comparison showing superiority to competitors|Demonstration video showing real-world performance|Made from recycled/sustainable materials,Jackery|Suaoki,2,No,Canada,"Yes, once"
7,2024-01-01 06:00:00,18-24,Male,Suburban,"$50,000 - $74,999",Bachelor's Degree,Student,Creative/Media,2-3 times per month,Fishing/Hunting|Overlanding/Off-roading|Skiing/Snowboarding,Several times per season (6-10 times/year),Car camping (established campgrounds)|Glamping|RV/Van camping|Winter camping,Somewhat - scattered emergency items,Moderately important - Have basic supplies,Every 2-3 months,Day trips only (less than 12 hours),Very important - Major consideration,Early Adopter - First to try new tech/gadgets,"GPS device (Garmin, etc.)|Portable speaker|Satellite communicator (InReach, SPOT)|Smartphone (1 device)|Tablet","Yes, 1 standard power bank","Under 10,000 mAh",Very frequently - Almost every trip/outing,Camera battery dies during key moments|Emergency devices (satellite comm) need reliable backup|Forgot to charge power bank before trip|Multiple devices need charging simultaneously|No access to electrical outlets for extended periods,"Yes, I currently own/use one",Average - Some pros and cons,Built-in compass for navigation|Carabiner/loop for attachment to backpack|Emergency SOS signal function|Lightweight & portable (under 1 lb)|Multiple charging ports (3+ USB ports),Natural disaster preparation,No major concerns - interested in purchasing,"10,000-15,000 mAh (ultra-portable, 2-3 phone charges)","Crowdfunding platforms (Kickstarter, Indiegogo)|Military/Tactical gear stores|Outdoor/Camping specialty stores (REI, Cabela's, Bass Pro)|Sporting goods stores (Dick's, Academy)",Definitely will purchase (90-100% likely),$120 - $149,2-Pack discount (for home + vehicle)|Solar power bank + Emergency blanket & first aid kit|Solar power bank + Rugged protective case,Within 1 month,Demonstration video showing real-world performance|Featured in outdoor magazine/gear review site|Made from recycled/sustainable materials,Anker|BigBlue|Black Diamond|Garmin|Goal Zero,3,No,Northeast US,"No, but concerned about it"
8,2024-01-01 07:00:00,55-64,Male,Suburban,"$50,000 - $74,999",Some College,Employed Full-time,Business/Finance,2-3 times per month,Beach/Water sports|Skiing/Snowboarding,1-2 times per year,Glamping,"Yes, comprehensive kit (food, water, first aid, power, etc.)",Extremely important - Active prepper/always prepared,Few times per year,Don't take outdoor trips,Very important - Major consideration,Practical User - Adopt when it solves a real problem,DSLR/Mirrorless camera|Drone|Smartphone (1 device)|Smartwatch/Fitness tracker,"Yes, 1 standard power bank","10,000 - 19,999 mAh",Occasionally - Happens sometimes,Current power bank capacity insufficient|GPS device runs out of battery mid-activity|Smartphone dies during critical navigation/emergencies,"Yes, I currently own/use one",Good - Mostly satisfied,"Built-in compass for navigation|Emergency SOS signal function|High battery capacity (25,000+ mAh)|Lightweight & portable (under 1 lb)|Rugged/Shockproof design (military-grade durability)",Festival/concert attendance,No major concerns - interested in purchasing,Not sure - depends on weight/size,"Amazon/Online marketplace|Big box retailers (Walmart, Target, Costco)|Electronics stores (Best Buy, Micro Center)|Emergency preparedness retailers",Very likely to purchase (70-89%),$85 - $99,Solar power bank + Rugged protective case,Immediately/within 2 weeks,Extended warranty (3+ years)|Featured in outdoor magazine/gear review site|Free shipping,Nitecore|RAVPower|REI Co-op brand,4,Yes,Southeast US,"No, but concerned about it"
9,2024-01-01 08:00:00,35-44,Male,Urban (City),"$50,000 - $74,999",Doctorate/Professional Degree,Employed Part-time,Other Professional,Several times a week (3-6 times),Fishing/Hunting|Kayaking/Canoeing|Trail Running|Wildlife Photography,Several times per season (6-10 times/year),Backcountry/Primitive camping|Car camping (established campgrounds),"No, haven't thought about it",Not important - Don't prioritize it,Few times per year,Overnight (1-2 days),Slightly important - Nice to have but not crucial,Practical User - Adopt when it solves a real problem,"DSLR/Mirrorless camera|GPS device (Garmin, etc.)|Headlamp/rechargeable flashlight|Medical devices (CPAP, etc.)|Portable speaker|Smartphone (1 device)|Two-way radio/walkie-talkie","Yes, 1 standard power bank","20,000 - 29,999 mAh",Rarely - Usually prepared,Multiple devices need charging simultaneously,"Yes, I've researched but never purchased",Never used one,"High battery capacity (25,000+ mAh)|Integrated high-lumen LED flashlight (multiple modes: high/low/SOS)|Long lifespan (1000+ charge cycles)|USB-C fast charging (input & output)|Waterproof & Dustproof (IP67 rating)",International travel/off-grid adventures,Charging speed too slow for my needs|Ineffective in cloudy/overcast weather,"30,000-35,000 mAh (high capacity, 6-8 phone charges)","Amazon/Online marketplace|Outdoor/Camping specialty stores (REI, Cabela's, Bass Pro)|Social media ads/shopping|Sporting goods stores (Dick's, Academy)",Somewhat likely (30-49%),$120 - $149,Solar power bank + Additional foldable solar panel (14W)|Solar power bank + Premium charging cables (5-pack)|Solar power bank + Rugged protective case,3-6 months,Endorsement by outdoor influencer/athlete|Free shipping|Significant launch discount (25%+ off),No strong brand preference,3,No,Southeast US,"No, but concerned about it"
10,2024-01-01 09:00:00,45-54,Female,Remote/Off-grid area,"$25,000 - $49,999",Bachelor's Degree,Employed Full-time,Other Professional,Daily,Backpacking/Multi-day trips|Emergency Preparedness/Survival Training|Hiking/Trekking|Kayaking/Canoeing|Mountain/Road Biking|Rock Climbing/Mountaineering|Search & Rescue volunteering,Monthly or more,Glamping|Winter camping,Somewhat - scattered emergency items,Moderately important - Have basic supplies,Weekly or more,Week+ expeditions (8+ days),Moderately important - Consider when possible,Selective Adopter - Only essential technology,"Action camera (GoPro, etc.)|E-reader|Laptop|Smartphone (1 device)|Smartwatch/Fitness tracker","No, but I've used one before",Don't own one,Occasionally - Happens sometimes,Camera battery dies during key moments|Cold weather reduces battery performance|Current power bank capacity insufficient|Emergency devices (satellite comm) need reliable backup,"Yes, I currently own/use one",Excellent - Met all expectations,Battery percentage digital display|Emergency SOS signal function|Extreme temperature performance (-4°F to 140°F)|Multiple charging ports (3+ USB ports)|Rugged/Shockproof design (military-grade durability),Natural disaster preparation,No major concerns - interested in purchasing,"30,000-35,000 mAh (high capacity, 6-8 phone charges)",Brand website directly|Emergency preparedness retailers|Social media ads/shopping,Very likely to purchase (70-89%),$100 - $119,Solar power bank + Premium charging cables (5-pack)|Solar power bank + Rugged protective case,3-6 months,4.5+ star rating with 500+ reviews|Bundle deal savings|Significant launch discount (25%+ off),BioLite|Goal Zero|Jackery|Nitecore|RAVPower,3,No,Northeast US,"No, but concerned about it"
